ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,Year,T,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus,M,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80plus,F,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80plus
Tanzania,TZ,SINGIDA,TZ13,MKALAMA,TZ1306,2020,156340,25862,24459,22666,15829,12069,9577,8374,7739,6930,6525,3854,3135,2718,2371,1761,1315,1156,79192,13216,12727,11727,9096,6221,4759,4110,3706,3362,2835,2011,1504,1156,932,774,576,480,77148,12646,11732,10939,6733,5848,4818,4264,4033,3568,3690,1843,1631,1562,1439,987,739,676
Tanzania,TZ,TABORA,TZ14,NZEGA,TZ1401,2020,605795,107630,95231,81323,66650,53604,42104,34248,28138,23615,17638,14653,10695,9376,7580,6023,3756,3531,302766,54757,48570,41362,34475,26518,20652,16962,13814,11562,9241,7292,4985,4011,3006,2531,1602,1426,303029,52873,46661,39961,32175,27086,21452,17286,14324,12053,8397,7361,5710,5365,4574,3492,2154,2105
Tanzania,TZ,TABORA,TZ14,IGUNGA,TZ1402,2020,491597,91915,78499,64331,54124,44039,33387,27568,23029,19829,14064,11199,8171,7014,5565,4020,2712,2131,246402,46645,39799,32771,27279,22130,16491,13683,11319,9936,7573,5656,3912,3177,2237,1723,1180,891,245195,45270,38700,31560,26845,21909,16896,13885,11710,9893,6491,5543,4259,3837,3328,2297,1532,1240
Tanzania,TZ,TABORA,TZ14,UYUI,TZ1403,2020,548431,104397,90624,75481,61035,47414,37263,30179,24710,20677,14570,11887,8345,7123,5465,4343,2529,2389,278542,53033,46399,39083,31580,23869,18388,15103,12332,10385,7937,6227,4206,3342,2344,2047,1214,1053,269889,51364,44225,36398,29455,23545,18875,15076,12378,10292,6633,5660,4139,3781,3121,2296,1315,1336
Tanzania,TZ,TABORA,TZ14,URAMBO,TZ1404,2020,263616,47974,41192,36547,31013,23622,18254,14598,12455,10121,7124,5626,4287,3599,2762,2080,1244,1118,134126,24268,20918,18731,16121,12442,9222,7344,6245,5226,3918,2865,2073,1621,1146,915,602,469,129490,23706,20274,17816,14892,11180,9032,7254,6210,4895,3206,2761,2214,1978,1616,1165,642,649
Tanzania,TZ,TABORA,TZ14,SIKONGE,TZ1405,2020,236907,44209,37555,32109,26885,20856,16775,13338,11376,9045,6295,5023,3723,3068,2412,1985,1224,1029,119898,22254,19091,16369,13727,10552,8453,6728,5787,4705,3546,2603,1797,1372,999,916,553,446,117009,21955,18464,15740,13158,10304,8322,6610,5589,4340,2749,2420,1926,1696,1413,1069,671,583
Tanzania,TZ,TABORA,TZ14,TABORA MUNICIPAL,TZ1406,2020,259818,36409,33491,33573,33392,28106,21333,16847,13706,11105,8139,6671,5147,3925,2961,2384,1402,1227,129575,18375,16837,16689,16609,13951,10762,8448,6803,5674,4320,3522,2530,1738,1270,1010,580,457,130243,18034,16654,16884,16783,14155,10571,8399,6903,5431,3819,3149,2617,2187,1691,1374,822,770
Tanzania,TZ,TABORA,TZ14,KALIUA,TZ1407,2020,623691,121316,101526,84727,71294,56167,43911,35438,28772,22986,15394,12815,8576,7456,5143,4060,2136,1974,319499,61666,52054,43738,36463,28771,22066,18222,14929,12105,8465,6703,4350,3599,2454,1953,1034,927,304192,59650,49472,40989,34831,27396,21845,17216,13843,10881,6929,6112,4226,3857,2689,2107,1102,1047
Tanzania,TZ,RUKWA,TZ15,KALAMBO,TZ1501,2020,215192,43327,36032,29781,22653,18013,15000,11814,9366,7803,5843,4475,3383,2856,1998,1321,905,622,106675,21624,18261,15002,11060,8620,7506,5952,4656,3789,3012,2215,1679,1202,815,591,404,287,108517,21703,17771,14779,11593,9393,7494,5862,4710,4014,2831,2260,1704,1654,1183,730,501,335
Tanzania,TZ,RUKWA,TZ15,SUMBAWANGA,TZ1502,2020,532432,106963,90618,71322,54589,44764,39112,31614,24834,18586,13306,10563,7812,6599,4653,3330,2040,1727,265464,53428,45300,36000,26702,21577,19557,16139,12962,9513,7188,5415,3815,2976,1844,1368,929,751,266968,53535,45318,35322,27887,23187,19555,15475,11872,9073,6118,5148,3997,3623,2809,1962,1111,976
